Username,Comment,Normalisasi,Tokenization,Stopwords,Stemming
@AzielZiel-l4l,Klo tidak mau menerima kekalahan ....soryyy yeeeee,kalau tidak mau menerima kekalahan soryyy yeeeee,"['kalau', 'tidak', 'mau', 'menerima', 'kekalahan', 'soryyy', 'yeeeee']","['menerima', 'kekalahan', 'soryyy', 'yeeeee']",terima kalah soryyy yeeeee
@syamsuls5330,Saya sudah 3 kali pilih bapak perabowo alhamdulillah perabowo menang mutlak,saya sudah kali pilih bapak perabowo alhamdulillah perabowo menang mutlak,"['saya', 'sudah', 'kali', 'pilih', 'bapak', 'perabowo', 'alhamdulillah', 'perabowo', 'menang', 'mutlak']","['kali', 'pilih', 'perabowo', 'alhamdulillah', 'perabowo', 'menang', 'mutlak']",kali pilih perabowo alhamdulillah perabowo menang mutlak
@merpatiatlit7853,"Yg dicegah para elite  itu anis jgn sampai menang makanya jokowi seakan mlen banteng. Rakyat gk sadar, 03 pura2 teriak aja nih",yang dicegah para elite itu anis jangan sampai menang makanya jokowi seakan mlen banteng rakyat tidak sadar teriak saja nih,"['yang', 'dicegah', 'para', 'elite', 'itu', 'anis', 'jangan', 'sampai', 'menang', 'makanya', 'jokowi', 'seakan', 'mlen', 'banteng', 'rakyat', 'tidak', 'sadar', 'teriak', 'saja', 'nih']","['dicegah', 'elite', 'anis', 'menang', 'jokowi', 'seakan', 'mlen', 'banteng', 'rakyat', 'sadar', 'teriak', 'nih']",cegah elite anis menang jokowi akan mlen banteng rakyat sadar teriak nih
@RisnaTuliabu,Surya paloh. Keok sdh.,surya paloh keok sudah,"['surya', 'paloh', 'keok', 'sudah']","['surya', 'paloh', 'keok']",surya paloh keok
@iasghazan,Pertanyaannya kok cepat x ya masuk data sudah 70% sementara diberbagai banyak daerah jam segini masih pada rekap suara. Apa disemua daerah yang hitung makhluk Ghoib ya !,pertanyaannya kok cepat kali ya masuk data sudah sementara diberbagai banyak daerah jam segini masih pada rekap suara apa disemua daerah yang hitung makhluk ghoib ya,"['pertanyaannya', 'kok', 'cepat', 'kali', 'ya', 'masuk', 'data', 'sudah', 'sementara', 'diberbagai', 'banyak', 'daerah', 'jam', 'segini', 'masih', 'pada', 'rekap', 'suara', 'apa', 'disemua', 'daerah', 'yang', 'hitung', 'makhluk', 'ghoib', 'ya']","['pertanyaannya', 'cepat', 'kali', 'masuk', 'data', 'diberbagai', 'daerah', 'jam', 'segini', 'rekap', 'suara', 'disemua', 'daerah', 'hitung', 'makhluk', 'ghoib']",tanya cepat kali masuk data bagai daerah jam gin rekap suara semua daerah hitung makhluk ghoib
@muhammadsabil480,Quikcon tdk bisa di percaya karena dari awal rakyat sudah tau akan ada kecurangan,quikcon tidak bisa di percaya karena dari awal rakyat sudah tau akan ada kecurangan,"['quikcon', 'tidak', 'bisa', 'di', 'percaya', 'karena', 'dari', 'awal', 'rakyat', 'sudah', 'tau', 'akan', 'ada', 'kecurangan']","['quikcon', 'percaya', 'rakyat', 'tau', 'kecurangan']",quikcon percaya rakyat tau curang
@ayahysella8752,"Saya kagum dengan pendukung pak prabowo dan mas Gibran,,..<br>  menyanyikan lagu kebangsaan Indonesia raya,,..<br>Salam kula ,,kang ✌✌🇮🇩🇮🇩💪💪",saya kagum dengan pendukung pak prabowo dan mas gibran menyanyikan lagu kebangsaan indonesia raya salam kula kang,"['saya', 'kagum', 'dengan', 'pendukung', 'pak', 'prabowo', 'dan', 'mas', 'gibran', 'menyanyikan', 'lagu', 'kebangsaan', 'indonesia', 'raya', 'salam', 'kula', 'kang']","['kagum', 'pendukung', 'prabowo', 'mas', 'gibran', 'menyanyikan', 'lagu', 'kebangsaan', 'indonesia', 'raya', 'salam', 'kula', 'kang']",kagum dukung prabowo mas gibran nyanyi lagu bangsa indonesia raya salam kula kang
@oellys,"LET&#39;S GO 02 KAMU PASTI BISA, SEMANGAT YOOOO MENANG!!!!<br>KAWAL SAMPAI MENANG🤘🏼🤘🏼🤘🏼",lets go kamu pasti bisa semangat yoooo menangkawal sampai menang,"['lets', 'go', 'kamu', 'pasti', 'bisa', 'semangat', 'yoooo', 'menangkawal', 'sampai', 'menang']","['lets', 'go', 'semangat', 'yoooo', 'menangkawal', 'menang']",lets go semangat yoooo menangkawal menang
@lalangofficial,Gama semoga menang saya mendoakan annis Muhaimin curang itu ❤❤🤲😭,gama semoga menang saya mendoakan annis muhaimin curang itu,"['gama', 'semoga', 'menang', 'saya', 'mendoakan', 'annis', 'muhaimin', 'curang', 'itu']","['gama', 'semoga', 'menang', 'mendoakan', 'annis', 'muhaimin', 'curang']",gama moga menang doa annis muhaimin curang
@Cue-yh7yg,Prabowo Gibran penyelamat semua rakyat Indonesia semoga belio ber dua  bisa menjaga aset2 negara dan yg pemersatu bangsa tak memandang dari apa dan pada siapa tentunya untuk semua rakyat Indonesia sehat pak Prabowo Gibran.,prabowo gibran penyelamat semua rakyat indonesia semoga belio ber dua bisa menjaga aset2 negara dan yang pemersatu bangsa tak memandang dari apa dan pada siapa tentunya untuk semua rakyat indonesia sehat pak prabowo gibran,"['prabowo', 'gibran', 'penyelamat', 'semua', 'rakyat', 'indonesia', 'semoga', 'belio', 'ber', 'dua', 'bisa', 'menjaga', 'aset2', 'negara', 'dan', 'yang', 'pemersatu', 'bangsa', 'tak', 'memandang', 'dari', 'apa', 'dan', 'pada', 'siapa', 'tentunya', 'untuk', 'semua', 'rakyat', 'indonesia', 'sehat', 'pak', 'prabowo', 'gibran']","['prabowo', 'gibran', 'penyelamat', 'rakyat', 'indonesia', 'semoga', 'belio', 'ber', 'menjaga', 'aset2', 'negara', 'pemersatu', 'bangsa', 'memandang', 'rakyat', 'indonesia', 'sehat', 'prabowo', 'gibran']",prabowo gibran selamat rakyat indonesia moga belio ber jaga aset2 negara satu bangsa pandang rakyat indonesia sehat prabowo gibran
